  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
545110 ***** 201901020230 990   9 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   28    0 ****** 30.65 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901020300 020   2 *** *** BKN * * * 15.6 ** ** ** ** ** ** ** ** *   28   -1 1038.1 ***** ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901020300 320   9 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   28    0 ****** 30.65 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901020330 320   7  18 *** *** * * * **** ** ** ** ** ** ** ** ** *   30   -2 ****** 30.62 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901020400 990   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   30   -2 ****** 30.62 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901020430 990   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   32   -2 ****** 30.59 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901020500 990   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   32   -6 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901020530 990   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   32    0 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901020600 180   4 *** *** BKN * * *  6.9 ** ** ** ** ** ** ** ** *   31    0 1035.3 ***** 1031.0 ***  12 ***** ***** ***** ***** **
545110 ***** 201901020600 990   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   32   -4 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901020630 990   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   32   -2 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901020700 990   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   32   -2 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901020730 990   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   32   -2 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901020800 990   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   30    1 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901020830 140   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   30    1 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901020900 200   2 *** *** BKN * * *  4.4 05 ** ** ** ** ** ** ** 0   30    1 1035.3 ***** ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901020900 ***   0 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   28    1 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901020930 080   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   25    0 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901021000 080   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   21    1 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901021030 070   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   19    0 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901021100 090   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   19    1 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901021130 990   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   19    1 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901021200 220   4 *** *** BKN * * *  2.2 05 ** ** ** ** ** ** ** 0   26    3 1035.7 ***** 1031.4 *** *** ***** ***** ***** ***** **
545110 ***** 201901021200 990   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   19    1 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901021230 090   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   16    1 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901021300 100   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   19    3 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901021330 990   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   19    1 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901021400 090   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   18    3 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901021430 070   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   18    1 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901021500 *** *** ***   8 OBS * * *  1.6 05 ** ** ** ** ** ** ** *   20    4 1035.6 ***** ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901021500 070   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   18    1 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901021530 050   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   21    1 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901021600 080   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   21    1 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901021630 070   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   21    3 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901021700 990   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   21    1 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901021730 990   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   21    1 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901021800 040   2 ***   8 OBS * * *  1.2 05 ** ** ** ** ** ** ** 0   22    6 1035.6 ***** 1031.4 *** *** ***** ***** ***** ***** **
545110 ***** 201901021800 050   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   21    1 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901021830 990   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   21    1 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901021900 040   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   21    1 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901021930 990   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   18    1 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901022000 350   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   16    1 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901022030 ***   0 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   14    1 ****** 30.53 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901022100 040   2 ***   8 OBS * * *  1.4 05 ** ** ** ** ** ** ** *   15    4 1034.5 ***** ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901022100 350   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   14    1 ****** 30.53 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901022130 350   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   12    1 ****** 30.53 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901022200 350   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   12    1 ****** 30.53 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901022230 350   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   12    1 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901022300 020   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   10    1 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901022330 360   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   10    3 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901030000 070   4 *** *** BKN * * *  2.2 05 ** ** ** ** ** ** ** *   19    5 1035.1 ***** 1030.8 *** *** ***** ***** ***** ***** **
545110 ***** 201901030000 360   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   12    3 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901030030 040   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   12    3 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901030100 ***   0 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   18    7 ****** 30.59 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901030130 990   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   19    9 ****** 30.59 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901030200 990   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   25    7 ****** 30.59 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901030230 320   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   25    7 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901030300 040   7 *** *** BKN * * *  3.8 05 ** ** ** ** ** ** ** 0   26    3 1035.3 ***** ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901030300 990   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   27    7 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901030330 990   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   28    7 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901030400 990   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   28    5 ****** 30.53 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901030430 990   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   30    5 ****** 30.50 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901030500 990   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   32    5 ****** 30.50 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901030530 990   2 *** 722 CLR * * *  5.0 ** ** ** ** ** ** ** ** *   32    5 ****** 30.50 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901030600 090   4 *** *** BKN * * * **** 05 ** ** ** ** ** ** ** 0   30    4 1032.8 ***** 1028.6 ***  13 ***** ***** ***** ***** **
545110 ***** 201901030600 990   4 *** 722 CLR * * *  5.0 ** ** ** ** ** ** ** ** *   32    3 ****** 30.50 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901030630 990   2 *** 722 CLR * * *  5.0 ** ** ** ** ** ** ** ** *   32    5 ****** 30.50 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901030700 990   2 *** 722 CLR * * *  4.4 ** ** ** ** ** ** ** ** *   32    5 ****** 30.47 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901030730 990   2 *** 722 CLR * * *  3.8 ** ** ** ** ** ** ** ** *   32    5 ****** 30.47 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901030800 ***   0 *** 722 CLR * * *  3.8 ** ** ** ** ** ** ** ** *   32    5 ****** 30.47 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901030830 130   2 *** 722 CLR * * *  3.8 ** ** ** ** ** ** ** ** *   28    5 ****** 30.47 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901030900 090   2 *** *** BKN * * * **** 05 ** ** ** ** ** ** ** 0   29    5 1033.1 ***** ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901030900 130   2 *** 722 CLR * * *  3.8 ** ** ** ** ** ** ** ** *   27    5 ****** 30.50 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901030930 ***   0 *** 722 CLR * * *  3.8 ** ** ** ** ** ** ** ** *   23    3 ****** 30.50 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901031000 990   2 *** 722 CLR * * *  3.8 ** ** ** ** ** ** ** ** *   25    3 ****** 30.50 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901031030 010   4 *** 722 CLR * * *  3.8 ** ** ** ** ** ** ** ** *   23    3 ****** 30.50 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901031100 990   2 *** 722 CLR * * *  3.8 ** ** ** ** ** ** ** ** *   25    5 ****** 30.53 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901031130 160   2 *** 722 CLR * * *  3.8 ** ** ** ** ** ** ** ** *   23    5 ****** 30.53 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901031200 *** *** *** *** BKN * * * **** 05 ** ** ** ** ** ** ** 0   24    6 1034.4 ***** 1030.1 *** *** ***** ***** ***** ***** **
545110 ***** 201901031200 990   2 *** 722 CLR * * *  3.8 ** ** ** ** ** ** ** ** *   21    7 ****** 30.53 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901031230 990   2 *** 722 CLR * * *  3.8 ** ** ** ** ** ** ** ** *   21    5 ****** 30.53 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901031300 ***   0 *** 722 CLR * * *  3.8 ** ** ** ** ** ** ** ** *   21    7 ****** 30.53 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901031330 990   2 *** 722 CLR * * *  3.8 ** ** ** ** ** ** ** ** *   19    5 ****** 30.53 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901031400 990   2 *** 722 CLR * * *  3.8 ** ** ** ** ** ** ** ** *   21    5 ****** 30.53 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901031430 050   2 *** 722 CLR * * *  3.8 ** ** ** ** ** ** ** ** *   19    7 ****** 30.53 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901031500 070   2 ***   8 OBS * * *  1.9 05 ** ** ** ** ** ** ** *   22    9 1034.6 ***** ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901031500 990   2 *** 722 CLR * * *  3.8 ** ** ** ** ** ** ** ** *   19    7 ****** 30.53 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901031530 350   4 *** 722 CLR * * *  3.8 ** ** ** ** ** ** ** ** *   18    5 ****** 30.53 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901031600 020   4 *** 722 CLR * * *  3.8 ** ** ** ** ** ** ** ** *   16    3 ****** 30.53 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901031630 990   4 *** 722 CLR * * *  3.8 ** ** ** ** ** ** ** ** *   16    3 ****** 30.53 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901031700 360   4 *** 722 CLR * * *  3.8 ** ** ** ** ** ** ** ** *   18    5 ****** 30.53 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901031730 990   4 *** 722 CLR * * *  5.0 ** ** ** ** ** ** ** ** *   18    3 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901031800 020   2 ***   8 OBS * * *  2.6 05 ** ** ** ** ** ** ** 0   21    6 1035.1 ***** 1030.9 *** *** ***** ***** ***** ***** **
545110 ***** 201901031800 320  11 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   27    5 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901031830 310  16 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   28    3 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901031900 310  13 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   28    0 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901031930 310  18 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   28    0 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901032000 310  18 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   27   -2 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901032030 310  18 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   27   -4 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901032100 360   4 ***   8 OBS * * * 18.8 ** ** ** ** ** ** ** ** *   27   -8 1034.9 ***** ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901032100 320  20 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   27   -4 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901032130 310  20 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   27   -4 ****** 30.56 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901032200 310  20 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   27   -4 ****** 30.59 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901032230 320  20 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   25   -6 ****** 30.59 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901032300 320  22 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   25   -6 ****** 30.59 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901032330 330  16 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   25   -6 ****** 30.59 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901040000 360  13 *** *** BKN * * * 11.9 ** ** ** ** ** ** ** ** *   26  -13 1035.8 ***** 1031.6 *** *** ***** ***** ***** ***** **
545110 ***** 201901040000 340  16 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   23   -6 ****** 30.59 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901040030 310  20 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   25   -8 ****** 30.62 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201901040100 320  20 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   27   -8 ****** 30.62 ****** *** *** ***** ***** ***** ***** **
